ID_Pedido,Fecha_Pedido,Estación,ID_Cliente,Segmento_Cliente,Región,País,Categoría_Producto,Unidades_Vendidas,Precio_Unitario,Ingresos,Costo
1,2025-10-29,Primavera,C8382,Estándar,Sur,Colombia,Hogar,7,67,469,325.44
2,2025-02-20,Verano,C5143,Premium,Norte,Perú,Hogar,11,196,2156,1435.76
3,2024-04-29,Otoño,C1111,Estándar,Centro,Perú,Deportes,14,82,1148,710.19
4,2024-09-21,Primavera,C2092,Estándar,Norte,Perú,Electrónica,14,86,1204,758.05
5,2025-02-18,Verano,C7484,Premium,Sur,Colombia,Ropa,9,155,1395,890.08
6,2025-01-23,Verano,C7648,Estándar,Norte,Colombia,Deportes,18,116,2088,1370.49
7,2024-06-13,Invierno,C5195,Estándar,Centro,Perú,Hogar,7,98,686,444.81
8,2024-09-14,Primavera,C5309,Premium,Norte,Colombia,Electrónica,17,192,3264,2266.81
9,2024-12-22,Verano,C1837,Estándar,Sur,Chile,Hogar,14,90,1260,886.03
10,2025-11-24,Primavera,C7628,Estándar,Centro,Perú,Deportes,5,84,420,245.61
11,2025-10-09,Primavera,C8750,Estándar,Centro,Perú,Deportes,16,77,1232,897.73
12,2024-06-17,Invierno,C8950,Premium,Sur,Colombia,Ropa,9,126,1134,649.92
13,2024-10-19,Primavera,C7087,Económico,Sur,Chile,Deportes,9,59,531,384.05
14,2025-11-05,Primavera,C9887,Premium,Norte,Perú,Electrónica,6,143,858,556.93
15,2025-12-13,Verano,C6036,Estándar,Norte,Chile,Hogar,29,62,1798,1286.05
16,2025-09-03,Primavera,C9534,Estándar,Norte,Perú,Ropa,10,98,980,598.61
17,2024-03-19,Otoño,C3521,Premium,Sur,Perú,Deportes,8,167,1336,968.72
18,2025-11-06,Primavera,C1262,Premium,Centro,Chile,Deportes,12,198,2376,1585.24
19,2025-04-04,Otoño,C2222,Económico,Norte,Chile,Ropa,14,43,602,369.02
20,2025-09-01,Primavera,C8569,Estándar,Centro,Perú,Deportes,17,104,1768,1174.82
21,2025-04-28,Otoño,C3241,Premium,Sur,Colombia,Hogar,15,199,2985,2190.43
22,2024-10-15,Primavera,C6206,Estándar,Sur,Perú,Ropa,5,55,275,181.87
23,2025-08-25,Invierno,C4505,Premium,Norte,Perú,Electrónica,8,115,920,646.55
24,2024-06-09,Invierno,C1979,Estándar,Norte,Perú,Ropa,2,85,170,112.35
25,2025-10-01,Primavera,C2510,Estándar,Centro,Chile,Electrónica,9,80,720,519.12
26,2024-11-15,Primavera,C2996,Premium,Sur,Perú,Hogar,17,165,2805,1567.2
27,2025-08-22,Invierno,C5184,Premium,Norte,Chile,Ropa,4,144,576,380.06
28,2024-07-08,Invierno,C2343,Estándar,Sur,Chile,Deportes,7,63,441,298.82
29,2024-02-03,Verano,C7202,Premium,Norte,Chile,Deportes,19,196,3724,2266.12
30,2025-11-08,Primavera,C6318,Estándar,Norte,Colombia,Ropa,13,56,728,435.38
31,2025-04-28,Otoño,C2514,Económico,Norte,Chile,Electrónica,13,30,390,229.57
32,2025-08-01,Invierno,C1763,Premium,Centro,Chile,Hogar,4,107,428,268.34
33,2025-04-15,Otoño,C5671,Estándar,Centro,Perú,Electrónica,6,91,546,318.98
34,2025-10-13,Primavera,C4287,Económico,Centro,Perú,Deportes,6,23,138,91.15
35,2024-01-14,Verano,C7802,Estándar,Norte,Chile,Deportes,20,100,2000,1467.95
36,2025-02-10,Verano,C6650,Estándar,Norte,Chile,Deportes,31,95,2945,1742.05
37,2025-05-22,Otoño,C5169,Estándar,Norte,Chile,Ropa,16,96,1536,931.53
38,2024-08-22,Invierno,C6530,Premium,Centro,Perú,Deportes,3,162,486,292.33
39,2025-05-28,Otoño,C5538,Estándar,Norte,Perú,Ropa,17,60,1020,690.09
40,2024-02-15,Verano,C1441,Premium,Centro,Colombia,Hogar,19,123,2337,1746.9
41,2025-09-20,Primavera,C6461,Económico,Centro,Perú,Hogar,16,23,368,207.22
42,2025-02-20,Verano,C1612,Estándar,Norte,Chile,Electrónica,28,106,2968,1957.55
43,2024-01-27,Verano,C6189,Económico,Norte,Perú,Electrónica,14,25,350,249.71
44,2024-10-06,Primavera,C6660,Premium,Centro,Chile,Ropa,17,109,1853,1207.94
45,2025-04-05,Otoño,C1731,Premium,Norte,Chile,Hogar,7,110,770,552.74
46,2025-04-14,Otoño,C5951,Premium,Centro,Chile,Deportes,12,134,1608,982.96
47,2024-01-26,Verano,C1757,Económico,Sur,Chile,Deportes,34,22,748,544.22
48,2025-08-15,Invierno,C6747,Estándar,Norte,Perú,Deportes,2,75,150,95.65
49,2024-02-20,Verano,C4026,Premium,Norte,Colombia,Ropa,9,107,963,580.86
50,2025-06-29,Invierno,C7359,Económico,Norte,Perú,Deportes,6,58,348,214.86
51,2024-11-23,Primavera,C7052,Estándar,Norte,Perú,Deportes,13,71,923,588.99
52,2025-02-10,Verano,C7481,Económico,Centro,Chile,Electrónica,24,48,1152,822.87
53,2025-07-03,Invierno,C5343,Premium,Centro,Colombia,Ropa,11,161,1771,1145.98
54,2024-08-18,Invierno,C3878,Estándar,Centro,Perú,Hogar,9,64,576,365.68
55,2025-02-17,Verano,C3191,Económico,Norte,Colombia,Deportes,15,36,540,318.75
56,2025-01-10,Verano,C2639,Estándar,Sur,Colombia,Hogar,9,54,486,287.33
57,2025-11-30,Primavera,C6009,Premium,Norte,Chile,Electrónica,15,135,2025,1302.69
58,2024-07-29,Invierno,C9522,Estándar,Norte,Colombia,Hogar,9,72,648,481.55
59,2025-12-16,Verano,C8207,Económico,Centro,Chile,Electrónica,27,20,540,360.51
60,2025-11-17,Primavera,C4101,Premium,Centro,Perú,Hogar,12,183,2196,1515.17
61,2024-04-13,Otoño,C8249,Económico,Centro,Perú,Hogar,8,57,456,280.3
62,2024-12-08,Verano,C7621,Estándar,Centro,Colombia,Electrónica,11,75,825,583.8
63,2025-09-06,Primavera,C4358,Económico,Sur,Perú,Ropa,11,49,539,316.03
64,2025-06-28,Invierno,C8568,Estándar,Sur,Chile,Electrónica,1,80,80,52.57
65,2025-10-25,Primavera,C7309,Premium,Sur,Perú,Deportes,17,138,2346,1371.16
66,2025-06-01,Invierno,C8087,Premium,Sur,Perú,Deportes,8,100,800,514.18
67,2025-06-18,Invierno,C9553,Estándar,Sur,Perú,Hogar,8,111,888,511.95
68,2024-12-02,Verano,C4078,Estándar,Norte,Perú,Electrónica,11,87,957,534.18
69,2025-11-04,Primavera,C3289,Premium,Norte,Colombia,Deportes,9,190,1710,1067.9
70,2025-11-24,Primavera,C8427,Premium,Sur,Chile,Hogar,11,196,2156,1413.56
71,2025-05-10,Otoño,C8793,Premium,Sur,Perú,Electrónica,5,177,885,563.67
72,2024-09-12,Primavera,C5610,Económico,Centro,Perú,Ropa,9,39,351,225.48
73,2025-03-20,Otoño,C3425,Estándar,Norte,Perú,Ropa,16,82,1312,786.72
74,2024-01-01,Verano,C6353,Premium,Centro,Chile,Hogar,12,130,1560,986.08
75,2025-11-10,Primavera,C2755,Económico,Norte,Chile,Hogar,16,35,560,380.88
76,2024-02-04,Verano,C7943,Premium,Norte,Perú,Electrónica,24,121,2904,1752.22
77,2025-04-04,Otoño,C4261,Premium,Sur,Perú,Hogar,11,196,2156,1614
78,2025-08-21,Invierno,C1016,Premium,Sur,Perú,Electrónica,2,188,376,231.06
79,2024-06-01,Invierno,C4839,Estándar,Norte,Perú,Ropa,4,51,204,137.89
80,2025-03-07,Otoño,C8454,Premium,Sur,Chile,Ropa,5,163,815,513.64
81,2025-05-27,Otoño,C8864,Estándar,Sur,Perú,Deportes,8,119,952,625.25
82,2024-10-31,Primavera,C6397,Premium,Centro,Colombia,Electrónica,5,189,945,602.17
83,2024-02-20,Verano,C4092,Estándar,Norte,Perú,Ropa,22,78,1716,1231.43
84,2024-02-20,Verano,C8391,Premium,Norte,Chile,Ropa,26,139,3614,2560.31
85,2024-06-29,Invierno,C2100,Premium,Centro,Colombia,Ropa,4,196,784,486.55
86,2025-09-28,Primavera,C3751,Estándar,Sur,Perú,Hogar,15,119,1785,1293.37
